Recipe Key,recipe_wearable_top_cloth_tunic_02_founderspack
Recipe Name,Founders Finery
Skill,skill_tailoring
UnlockAtSkillLevel,0
SkillDifficulty,2
XPMultiplier,2.66
Station,

Skill Level,Success Chance,XP (Success) Min,XP (Success) Avg,XP (Success) Max,XP (Failure) Avg,XP (Expected) Avg
0,88%,333,362,391,35,322
1,93%,303,330,356,36,309
2,100%,16,17,18,,17
3,100%,13,14,15,,14
4,100%,10,11,12,,11
5,100%,7,8,9,,8
6,100%,5,5,5,,5
7,100%,2,2,2,,2
8,100%,0,0,0,,0
9,100%,0,0,0,,0
10,100%,0,0,0,,0
11,100%,0,0,0,,0
12+,100%,0,0,0,,0
